"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"gps_g8_1",27,1307,1.47551644988523,0.84441074101279,1,1.29083094555874,0,1,6,5,1.86473405187077,3.18946925002944,0.0233569405405278
"gps_g9_1",28,1307,2.47704667176741,1.22827566234968,3,2.38347659980898,1.4826,1,7,6,0.437848185798255,-0.431554144770189,0.0339748894933161
"gps_g10_1",29,1307,1.67482785003826,0.910337868829989,1,1.55587392550143,0,1,5,4,0.990341606328803,-0.204802096892405,0.0251805270128968
"gps_g11_1",30,1307,2.0761285386381,1.11105237228968,2,1.93648519579752,1.4826,1,7,6,0.743257633751047,-0.0510110163326232,0.030732418403225
"gps_g12_1",31,1307,2.74713083397093,1.39778777870375,3,2.63658070678128,1.4826,1,7,6,0.436618072694287,-0.435694722696404,0.038663702922942
"gps_g13_1",32,1306,2.09800918836141,1.12544748831638,2,1.97227533460803,1.4826,1,5,4,0.564797729036124,-0.792425922155487,0.0311425125269512
"gps_g14_1",33,1306,1.77029096477795,0.973435394363058,1,1.63288718929254,0,1,5,4,0.950264359779182,-0.221850251496271,0.0269361514222928
"gps_g15_1",34,1307,2.23144605967865,1.1696577315586,2,2.11604584527221,1.4826,1,6,5,0.61359703808525,-0.279941637063285,0.0323534800801034
"gps_g16_1",35,1306,2.76837672281776,1.34980741031613,3,2.65726577437859,1.4826,1,7,6,0.484463093851144,-0.180264306084517,0.0373508267788009
"b1_ppos_1",36,1306,18.3874425727412,5.60117352634057,18,18.2782026768642,5.9304,7,38,31,0.219487395738468,-0.170340432340058,0.154991342128841
"b1_pneg_1",37,1306,20.2488514548239,6.3723614945323,20,20.0592734225621,5.9304,7,41,34,0.292455117568312,-0.236337170174303,0.176331059183052
"b1_ppsy_1",38,1306,36.9969372128637,9.20810852687988,37,36.744741873805,8.8956,16,70,54,0.285929926111838,-0.110038497968982,0.254799658024799
"cut_pans_1",39,1307,2.58301453710788,0.92986970827497,3,2.57593123209169,1.4826,1,5,4,0.217106092106496,-0.255249415151674,0.0257207901696828
